lang,cap,length,n_max,build_s,dec_mean_us,dec_std_us,dec_min_us,dec_max_us,enc_mean_us,enc_std_us,enc_min_us,enc_max_us,entries,table_bits,disk_bytes,peak_rss_kb
cpp,128,64.0,81.0,0.002473,9.382,3.31,5.173,21.283,4.761,1.084,3.388,7.84,3320.0,148538.0,41781.0,4024.0
cpp,128,96.0,115.0,0.007458,17.593,5.178,10.577,30.957,8.847,2.098,6.05,14.641,6669.0,440806.0,119394.0,4152.0
cpp,128,128.0,148.0,0.01607,27.947,6.07,18.764,44.043,19.296,17.694,10.122,140.089,10835.0,934910.0,248695.0,4412.0
cpp,128,192.0,215.0,0.043448,56.579,18.2,30.375,102.185,25.866,6.739,16.521,42.391,19478.0,2372326.0,619856.0,5160.0
cpp,128,256.0,282.0,0.083256,86.965,24.391,46.081,167.432,42.34,12.557,24.119,95.865,28121.0,4367606.0,1130459.0,6236.0
cpp,128,384.0,414.0,0.214986,178.897,45.198,101.509,308.165,91.068,33.473,49.147,218.512,45149.0,9935736.0,2545848.0,8676.0
cpp,128,512.0,547.0,0.433843,281.241,73.535,149.356,483.885,136.845,39.402,71.016,285.989,62306.0,17746096.0,4521986.0,10444.0
cpp,128,768.0,811.0,1.277904,550.565,182.597,266.163,1218.269,286.599,101.362,134.104,610.081,96362.0,39805025.0,10083608.0,16120.0
cpp,128,1024.0,1074.0,3.000677,1089.944,316.72,466.219,1755.345,602.035,192.354,232.65,1056.553,130289.0,70457245.0,17793327.0,23008.0
cpp,4,192.0,217.0,0.001796,52.627,11.581,31.459,103.011,25.569,4.495,16.572,34.634,1074.0,101884.0,27021.0,3892.0
cpp,8,192.0,215.0,0.003273,58.915,17.802,34.277,96.414,27.934,7.33,18.043,44.031,1898.0,183449.0,48547.0,3844.0
cpp,16,192.0,215.0,0.006263,57.668,19.126,30.606,105.543,29.133,9.445,16.292,52.205,3518.0,348501.0,92030.0,4560.0
cpp,32,192.0,215.0,0.011858,51.979,13.4,28.027,84.239,24.795,5.464,14.826,38.144,6566.0,675962.0,178073.0,4444.0
cpp,64,192.0,215.0,0.023699,54.911,16.082,31.018,93.723,26.245,6.955,16.421,47.539,11894.0,1307853.0,343338.0,4564.0
cpp,128,192.0,215.0,0.044079,57.318,17.367,32.376,103.206,30.801,14.377,17.057,87.741,19478.0,2372326.0,619856.0,5132.0
cpp,256,192.0,215.0,0.058641,56.659,17.835,31.041,101.487,27.351,8.134,17.016,60.313,23219.0,3011653.0,784830.0,5576.0
cpp,inf,192.0,215.0,0.056501,55.58,16.197,31.068,93.081,29.775,12.102,16.727,73.099,23219.0,3011653.0,784830.0,5600.0
rust,inf,16.0,28.0,0.000118,0.99,0.298,0.458,1.911,0.99,1.362,0.467,11.614,405.0,5048.0,1895.0,1224.0
rust,inf,24.0,37.0,0.000267,2.035,1.086,0.909,8.496,1.338,0.359,0.695,2.115,702.0,12462.0,4166.0,1176.0
rust,inf,32.0,46.0,0.000534,2.601,0.758,1.205,4.808,1.807,0.364,1.068,2.817,1080.0,24992.0,7816.0,2444.0
